Site,Date,Time,SampleID,ROI_ID,Latitude,Longitude,MSL,LAI,SMP,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
Teller_MM27,20220709,04:34:40pm,TLAI0016,16,64.73331103,-165.9415854,111.568,2.25,5,1243.888266,738.0024929,7895.895032,11623.8442,185.4475326,217.123921,1314.759125,1723.058632,19.19686292,12.43769316
Teller_MM27,20220709,04:37:30pm,TLAI0017,17,64.73356733,-165.9419185,114.398,4.58,5,1304.85739,669.9914939,9076.454811,13713.89992,244.4675915,185.0437592,1982.280847,2804.64183,44.71279492,20.76964141
Teller_MM27,20220709,04:40:19pm,TLAI0018,18,64.73375286,-165.9420467,115.97,0.93,5,1617.105769,1038.050296,9007.719305,13340.24926,291.4260013,295.3849869,1368.116342,1746.871088,15.9775,13.54368044
Teller_MM27,20220709,04:43:37pm,TLAI0019,19,64.73399263,-165.9420594,117.733,4.23,5,1579.122995,935.9799465,9367.31016,14394.74312,251.483782,280.9181987,1824.688658,2729.910894,31.85202086,12.6982214
Teller_MM27,20220709,04:46:15pm,TLAI0020,20,64.73411569,-165.9419517,118.944,0.41,5,1615.441568,1283.487056,8520.191198,12291.50592,199.8465604,280.1661309,712.147559,965.9309392,0.70953125,0.973553928
Teller_MM27,20220709,04:48:58pm,TLAI0021,21,64.73416293,-165.94217,120.459,2.39,5,1626.912262,1014.864693,9023.062896,14371.42812,105.9915521,177.122734,733.0118376,1109.304868,4.212347354,3.480829518
Teller_MM27,20220709,04:51:45pm,TLAI0022,22,64.73422389,-165.9421036,120.96,1.51,4,1686.684155,935.58419,9433.296703,14948.96331,205.2431236,254.3779154,1348.177502,2101.475529,36.27179099,19.28387627
Teller_MM27,20220709,04:56:07pm,TLAI0023,23,64.73296468,-165.9415765,109.955,4.49,5,3306.209608,2923.561577,10332.28961,16829.95989,7099.747491,7214.118484,6937.902937,NA,48.68160871,26.43959086
Teller_MM27,20220709,04:59:25pm,TLAI0024,24,64.73303609,-165.9421454,111.966,6.06,4,1344.937,624.032,9559.525,15865.17,295.7486728,140.4433548,2065.176682,NA,50.67252361,26.97436752
Teller_MM27,20220709,05:01:54pm,TLAI0025,25,64.73310933,-165.9423042,113.073,0.82,4,1279.295858,854.693787,7750.608728,11948.92419,388.3361004,461.1510565,1624.036906,2218.859738,2.5390625,2.503076225
Teller_MM27,20220709,05:07:20pm,TLAI0026,26,64.73334882,-165.9423141,114.529,5.3,5,1577.145879,894.2689697,9964.688303,16579.57764,391.9314431,389.9353984,1752.360152,2674.169493,48.84900256,35.58602519
Teller_MM27,20220709,05:12:04pm,TLAI0027,27,64.73308264,-165.9415373,110.491,4.27,4,1528.304267,1265.726531,7851.683488,11871.61299,249.7355026,405.3571338,1201.334203,1605.90004,72.15166932,30.48273119
Teller_MM27,20220709,05:14:12pm,TLAI0028,28,64.73307149,-165.9413586,110.01,2.7,4,1343.948936,960.6688588,7428.099807,11236.46074,275.9843747,371.7146262,1366.964229,1915.467289,31.96680097,19.44560086
Teller_MM27,20220709,05:16:13pm,TLAI0029,29,64.73318145,-165.9409594,109.639,1.32,5,1498.174556,814.9434172,8095.202293,11815.7696,166.7172231,247.7224769,907.9193918,1218.591438,11.33140625,4.592064732
Teller_MM27,20220709,05:20:22pm,TLAI0030,30,64.73274146,-165.9388819,102.026,2.04,5,1644.179932,1000.42041,9102.23999,15022.55933,122.6243102,137.9332482,707.3479674,1357.359547,20.5425,4.790605877
Teller_MM27,20220709,05:28:02pm,TLAI0031,31,64.73097581,-165.9402258,96.996,0.88,4,1452.994667,1283.567,7531.199,10874.56433,82.34508475,161.0811122,609.8584499,1013.854791,0,0
Teller_MM27,20220709,05:30:49pm,TLAI0032,32,64.73118597,-165.9409346,98.939,0.86,5,1443.0065,1505.957,8055.342,11348.491,105.9412914,259.1833798,674.542447,1082.849894,0.1565625,0.534937282
Teller_MM27,20220709,05:33:43pm,TLAI0033,33,64.73109562,-165.9415304,99.152,0.73,5,1547.673667,1652.852667,7124.522,10505.32967,178.0412289,329.3583075,714.4646117,1207.868612,0.374228395,1.530444057
Teller_MM27,20220709,05:36:46pm,TLAI0034,34,64.73108476,-165.9420504,100.239,1.1,5,1701.468278,1886.139343,7644.12481,11454.7595,139.987516,268.5048602,595.5417765,1034.0165,39.3822588,8.534893363
Teller_MM27,20220709,05:39:54pm,TLAI0035,35,64.73062229,-165.9420634,96.599,6.22,5,1109.101557,887.0411378,7600.544059,10816.21738,123.7783571,237.6085528,1415.414423,2408.412253,19.40322581,8.853006021
Teller_MM27,20220709,05:42:27pm,TLAI0036,36,64.7303799,-165.9415635,94.889,0.51,5,1280.1025,1602.1085,5286.6895,7122.812,131.6311536,230.6917363,604.9610817,911.7350477,5.818673469,4.028378454
Teller_MM27,20220709,05:45:22pm,TLAI0037,37,64.73025201,-165.9419091,95.397,0.67,5,1706.538,1823.9615,7117.941,9873.6655,268.7671044,509.7423393,590.9206567,1037.865477,12.08191262,4.603060276
Teller_MM27,20220709,05:48:13pm,TLAI0038,38,64.73000096,-165.942442,94.295,1.23,5,1351.7535,1431.7285,6115.8335,8287.153,110.9735789,214.067044,781.3817646,1186.527511,6.779700196,5.305037734
Teller_MM27,20220709,05:52:49pm,TLAI0039,39,64.7290503,-165.9417915,89.368,0.98,5,1404.425011,1601.778042,6714.499893,9214.208846,133.148866,307.396444,593.6036961,982.1725325,8.041381836,4.236656516
Teller_MM27,20220709,05:55:06pm,TLAI0040,40,64.72894405,-165.9415778,88.528,2.13,4,1364.215006,1579.121933,6424.61156,8708.740985,117.4300574,323.9584349,975.979016,1607.626648,13.59182372,12.67467615
Teller_MM27,20220710,10:32:21am,TLAI0041,41,64.72528478,-165.9416103,72.197,0.59,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,10:34:45am,TLAI0042,42,64.72552309,-165.9418465,72.844,2.06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,10:37:23am,TLAI0043,43,64.72562558,-165.9421276,73.737,1.09,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,10:40:02am,TLAI0044,44,64.72580974,-165.9426377,73.628,2.51,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,10:43:41am,TLAI0045,45,64.72598494,-165.9430325,75.411,1.84,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,10:46:21am,TLAI0046,46,64.72608227,-165.9434166,75.235,2.97,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,10:49:51am,TLAI0047,47,64.72587289,-165.9438651,74.073,3.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,10:52:34am,TLAI0048,48,64.72603519,-165.9446193,72.163,0.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,10:55:38am,TLAI0049,49,64.72611743,-165.9451187,71.185,3.85,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teller_MM27,20220710,11:00:39am,TLAI0050,50,64.7269381,-165.9448329,74.939,2.11,5,1426.779356,604.4649621,7678.171402,11042.90909,577.3187211,248.9516002,2430.189849,3233.697099,9.022163121,6.483439311
Teller_MM27,20220710,11:05:48am,TLAI0051,51,64.72719499,-165.9442408,79.737,2.35,4,1230.931,721.417,7065.594,12324.64933,135.0760137,145.5632216,867.8735796,1598.890453,12.1567299,4.566987796
Teller_MM27,20220710,11:10:50am,TLAI0052,52,64.72701576,-165.9436888,79.176,1.57,5,1442.726299,813.3918831,7124.120455,9669.775325,150.4092763,178.7567363,1049.829408,1375.060982,16.85561578,8.417724393
Teller_MM27,20220710,11:15:27am,TLAI0053,53,64.72661712,-165.9427307,77.814,1.28,5,1483.879669,1464.509091,6296.778182,8686.053223,196.5495853,367.0401489,926.0158376,1282.266944,9.01041047,4.665730627
Teller_MM27,20220710,11:19:26am,TLAI0054,54,64.72648229,-165.942139,72.168,1.46,5,1948.755372,1202.437355,6771.566942,10423.21058,235.3445472,231.8757681,689.485643,1160.407795,6.538942234,4.643023554
Teller_MM27,20220710,11:22:09am,TLAI0055,55,64.72639296,-165.9416348,69.992,2.11,5,3015.823802,1849.443636,7392.335207,11701.34711,256.0406101,240.1678375,776.5337133,1284.109042,1.067901235,1.878254152
Teller_MM27,20220710,11:25:27am,TLAI0056,56,64.72629499,-165.9411611,63.249,0.54,4,2745.099174,1884.878017,7939.01719,11888.99802,174.5757748,279.9744544,899.6133045,1222.582025,5.598689224,3.753542001
Teller_MM27,20220710,11:27:59am,TLAI0057,57,64.72603149,-165.941009,33.998,2.63,5,2552.236364,1671.776768,8132.025253,11993.55219,347.7302616,295.7883957,1251.096813,1887.985049,15.62191358,9.249201133
Teller_MM27,20220710,11:33:09am,TLAI0058,58,64.72690557,-165.9415948,79.376,1.93,5,1702.648,1144.504667,6196.975,8928.348667,158.4738974,175.8078122,614.8611339,840.2258876,11.42066758,6.189647108
Teller_MM27,20220710,11:35:35am,TLAI0059,59,64.72701161,-165.9418639,79.496,2.55,5,1720.565879,1106.540307,6492.135006,9760.959094,219.7344068,292.0772967,924.5872207,1471.176441,33.19996539,17.93638252
Teller_MM27,20220710,11:39:28am,TLAI0060,60,64.72721041,-165.9430445,80.243,1.48,5,1501.565667,904.7366667,6668.481667,10490.126,195.4988564,203.1618725,844.337189,1304.724796,12.6034375,8.483195604
Teller_MM27,20220710,11:52:00am,TLAI0061,61,64.72769881,-165.9432453,83.548,1.91,5,1656.333333,1047,7862,10318,233.5517262,294.3044431,989.8598664,1263.09189,11.04117188,5.523817942
Teller_MM27,20220710,11:57:17am,TLAI0062,62,64.72767303,-165.9434296,82.673,3.2,6,1522.096667,1088.406667,6917.793333,8837.363333,417.1399572,500.9964674,1540.366057,2005.108509,34.19000591,11.77781305
Teller_MM27,20220710,12:03:32pm,TLAI0063,63,64.72775795,-165.9437499,82.013,4.62,5,1719.99,914.5233333,8097.903333,11140.38333,434.6375721,434.7866937,1633.986578,2433.456582,27.73776966,18.28902685
Teller_MM27,20220710,12:09:33pm,TLAI0064,64,64.72793329,-165.9442707,82.587,2.96,5,1845.89225,916.9635,8145.452,12249.5255,158.1539325,157.9485321,718.4015624,1106.243944,3.703042328,1.980249593
Teller_MM27,20220710,12:12:59pm,TLAI0065,65,64.72811264,-165.9447223,84,0.65,4,2823.16,2331.15175,7643.015,10883.2065,254.6009028,375.0669451,702.3499314,1020.960127,6.501900077,4.404482865
Teller_MM27,20220710,12:15:31pm,TLAI0066,66,64.72823689,-165.9452183,85.637,1.81,5,2242.6995,1547.29475,8055.81825,11699.4155,1273.603042,1465.303754,1615.801592,1747.796872,5.366796875,3.645524065
Teller_MM27,20220710,12:18:56pm,TLAI0067,67,64.72844605,-165.9458655,87.669,2.89,5,1321.399667,714.074,7606.52,9887.375333,161.2857164,120.2961288,928.1465887,1201.351346,19.43752704,9.72211438
Teller_MM27,20220710,12:22:11pm,TLAI0068,68,64.72875209,-165.9458127,89.67,2.61,5,1798.329,1293.5615,8339.68525,12051.30475,193.949258,336.7058185,622.8960424,1036.687307,4.318774113,4.31723741
Teller_MM27,20220710,12:27:57pm,TLAI0069,69,64.72862808,-165.9445067,87.027,1.51,5,1935.114,1496.96675,7724.35725,11069.3365,183.7624066,299.7574908,727.4465822,1137.821933,6.352691937,6.357836264
Teller_MM27,20220710,12:32:16pm,TLAI0070,70,64.72865232,-165.9430682,87.937,1.03,5,1976.39725,1394.20125,7063.7635,10175.16075,192.9604307,223.3990155,849.9169407,1321.318481,5.24151662,3.573082566
Teller_MM27,20220710,01:19:28pm,TLAI0071,71,64.72841411,-165.9405132,85.492,0.32,2,2218.37475,2185.51475,7568.86425,9659.22875,302.1145176,476.3082569,695.6966874,953.6738988,4.511736016,3.197834294
Teller_MM27,20220710,01:21:33pm,TLAI0072,72,64.72841481,-165.9408965,85.028,3.74,4,1626.75475,1189.264,6676.7435,8937.20275,256.5921635,251.208922,1457.582024,2225.205346,30.13179498,19.32512439
Teller_MM27,20220710,01:23:35pm,TLAI0073,73,64.72857427,-165.9412716,86.815,3.05,5,2031.41325,1601.0175,7471.3715,10263.97675,298.4248654,437.1318836,888.7023878,1311.040407,24.58547009,16.60056188
Teller_MM27,20220710,01:27:58pm,TLAI0074,74,64.72881535,-165.9418165,88.417,1.76,5,1438.2885,1773.3485,6372.945,8439.7095,142.9703955,258.2189578,903.7181107,1334.022224,3.515884452,3.347189
Teller_MM27,20220710,01:38:44pm,TLAI0075,75,64.7294086,-165.9426622,92.227,0.82,2,1431.411,1439.2355,6748.9215,9232.234,105.6685511,204.3351732,572.2939396,921.2917336,11.49210938,9.879504178
Teller_MM27,20220710,01:42:00pm,TLAI0076,76,64.72975536,-165.9429309,93.412,1.29,5,1133.467,1248.939,4962.947,6505.69,116.8187118,282.2296063,1030.230695,1474.641593,7.322486,3.998702157
Teller_MM27,20220710,01:45:41pm,TLAI0077,77,64.73004895,-165.9430696,95.852,0.32,5,1417.845156,1427.757828,6863.288615,9105.946317,263.9023447,486.8864541,771.9023852,1182.281117,13.64933449,9.240512223
Teller_MM27,20220710,01:51:49pm,TLAI0078,78,64.7308812,-165.9449503,101.339,1.26,5,1038.801793,1083.72813,5521.835238,7204.017218,160.7825343,246.1723566,877.1311822,1301.912707,0.435802469,1.319899685
Teller_MM27,20220710,01:55:00pm,TLAI0079,79,64.7309184,-165.9445257,101.508,1.72,5,999.0186539,833.0960023,5969.211471,7921.415419,128.8821525,122.1312491,1227.011315,1934.261577,18.61080247,12.19930469
Teller_MM27,20220710,02:01:03pm,TLAI0080,80,64.73036314,-165.9416438,94.867,1.24,5,1288.348554,1613.727469,5366.536057,7265.261985,110.6519985,217.6979247,615.932784,937.3997664,5.639061787,4.297746469
Teller_MM27,20220711,10:25:57am,TLAI0081,81,64.7313771,-165.9397805,98.164,1.67,5,1283.934253,1151.687851,8357.064205,11288.84432,138.6175662,312.4558506,778.6443026,1243.733698,11.345,4.79673145
Teller_MM27,20220711,10:29:33am,TLAI0082,82,64.73189905,-165.9403514,102.287,5.35,4,1016.642547,565.8678824,9061.191888,15284.00612,168.1177263,98.8503472,1503.523349,2771.029212,44.04541578,25.75705261
Teller_MM27,20220711,10:31:38am,TLAI0083,83,64.73190173,-165.9409709,103.148,2.54,5,1221.055915,1061.347414,8726.437312,12623.91616,223.7221329,411.9836219,717.7028735,1212.795406,10.74828125,5.676454979
Teller_MM27,20220711,10:33:20am,TLAI0084,84,64.7319708,-165.9411952,103.537,4,5,1085.752669,729.5230924,8701.870994,14160.07132,174.8616466,171.2998116,1517.664725,2946.819482,69.84412226,28.16223442
Teller_MM27,20220711,10:37:16am,TLAI0085,85,64.7321418,-165.9414129,105.02,7.69,5,1235.210293,699.1345757,8840.826062,16004.54725,176.3226895,126.8889214,1365.781922,2776.513401,17.53607253,9.987598469
Teller_MM27,20220711,10:40:36am,TLAI0086,86,64.73184634,-165.9419145,104.357,3.89,5,1202.11581,1074.611381,8572.690527,12922.68608,252.6652435,494.3507809,1362.125416,2652.388675,55.56944979,29.77642336
Teller_MM27,20220711,10:42:31am,TLAI0087,87,64.73184575,-165.9422164,105.205,2.37,5,1097.310499,1167.190383,7392.841015,10059.28986,125.7573605,288.3021747,1171.557973,1780.016997,10.60551194,5.276228293
Teller_MM27,20220711,10:46:40am,TLAI0088,88,64.73202458,-165.9429066,106.713,2.99,5,1387.841753,1454.811233,8005.697566,11393.72758,110.793283,332.3988041,860.0206538,1411.807131,42.33169643,17.84802942
Teller_MM27,20220711,10:49:07am,TLAI0089,89,64.73219903,-165.9435808,109.225,5.44,5,1249.633861,805.7308704,9061.412769,15457.36874,238.1741499,239.7014015,1321.474531,2556.882776,34.14809797,22.46566545
Teller_MM27,20220711,10:50:42am,TLAI0090,90,64.73216817,-165.9435846,108.741,3.88,5,1399.444775,868.0081381,9322.582402,15443.97674,165.14993,182.0560394,1063.869425,1952.701216,14.42202057,17.57730124
Teller_MM27,20220711,10:54:29am,TLAI0091,91,64.73175075,-165.9432021,105.304,0.89,5,1332.775923,1530.406561,7682.096451,10417.30234,183.753098,442.2265601,741.8686566,1145.212099,2.421875,2.638711224
Teller_MM27,20220711,10:57:47am,TLAI0092,92,64.73125642,-165.9423832,101.397,0.83,5,1580.231353,1877.890785,7642.533742,10565.90738,301.1546126,518.5581447,1187.585745,1969.874593,27.61281646,5.71404848
Teller_MM27,20220711,10:59:58am,TLAI0093,93,64.73091997,-165.9418597,100.093,0.94,5,1562.331673,1916.632179,7131.019865,9368.643073,163.616617,358.7494233,719.8320954,1068.629244,28.59197531,4.619044686
Teller_MM27,20220711,11:01:48am,TLAI0094,94,64.73086948,-165.9415974,98.33,1.45,5,1393.895708,1436.971122,7767.288498,10273.02746,178.3716679,356.3507741,757.1427892,1212.250898,10.01484375,10.74660615
Teller_MM27,20220711,11:03:46am,TLAI0095,95,64.73059357,-165.9412691,95.913,1.51,5,1225.357684,1127.384373,7797.320605,10429.84018,99.80916324,233.7832318,819.7584728,1268.587365,3.424768519,3.244965342
Teller_MM27,20220711,11:07:17am,TLAI0096,96,64.73003781,-165.9410625,91.283,0.95,5,1135.550354,1243.967942,4330.459546,5663.713203,150.2394427,206.8919088,678.7440983,1044.457435,7.784527392,3.724916039
Teller_MM27,20220711,11:09:45am,TLAI0097,97,64.72993586,-165.9408009,92.421,2.85,5,1192.461059,1261.029961,5233.210373,6873.529793,124.2655685,186.673425,1097.429379,1666.351206,5.706881752,3.695498555
Teller_MM27,20220711,11:11:22am,TLAI0098,98,64.7298184,-165.94052,91.633,1.21,5,1380.374286,1440.95843,6611.443472,8753.994924,211.6293388,411.5090859,668.3746181,1023.234612,3.70828125,3.73382776
Teller_MM27,20220711,11:13:26am,TLAI0099,99,64.72933897,-165.9402418,88.797,0.78,5,1523.054852,1895.681798,5064.472193,6974.306239,149.0634731,225.845599,535.1846307,772.8432792,3.396446796,1.921434816
Teller_MM27,20220711,11:15:29am,TLAI0100,100,64.72886203,-165.9399898,86.086,1.18,5,1297.3425,1284.337,6097.195,8201.8515,137.3167449,185.0980058,785.6550115,1085.296678,6.140509259,5.166827674
